# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,power,alpha-inked,alpha-ink-percent,alpha-count,alpha-color,alpha-theme,bravo-inked,bravo-ink-percent,bravo-count,bravo-color,bravo-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities,medal1-grade,medal1-name,medal2-grade,medal2-name,medal3-grade,medal3-name,event
Drizzle Season 2022,2022-11-21T06:00:00+00:00,1.2.1,regular,nawabari,namero,180,alpha,,,,3367,50.7,,,,3318,43.4,,,,barrelspinner,5,4,1,2,2,960,,lact450,5,4,1,2,4,1157,,dualsweeper,7,3,4,2,3,783,,splatroller,6,3,3,3,1,467,,sshooter,3,3,0,2,3,1010,,screwslosher,4,2,2,3,2,832,,sharp,2,2,0,5,2,797,,dualsweeper,4,2,2,4,1,679,,gold,#1 Enemy Splatter,silver,#2 Turf Inker,silver,#2 Popular Target,
Drizzle Season 2022,2022-11-21T06:00:00+00:00,1.2.1,regular,nawabari,zatou,180,alpha,,,,3792,59.0,,,,3392,35.8,,,,barrelspinner,3,1,2,2,3,922,,explosher,10,8,2,2,3,1249,,lact450,4,3,1,2,3,906,,barrelspinner,5,3,2,3,2,715,,bold,2,2,0,6,1,944,,sshooter,1,1,0,3,3,924,,screwslosher,1,1,0,1,3,822,,screwslosher,5,5,0,5,2,702,,gold,#1 Splat Assister,silver,#2 Turf Inker,silver,#2 Enemy-Base Inker,
Drizzle Season 2022,2022-11-21T06:00:00+00:00,1.2.1,regular,nawabari,namero,180,bravo,,,,2550,37.2,,,,2958,52.7,,,,barrelspinner,5,5,0,3,3,1067,,squiclean_a,1,1,0,7,1,668,,splatroller,0,0,0,2,1,437,,splatcharger,1,1,0,6,0,378,,sshooter,6,3,3,1,3,830,,l3reelgun,4,4,0,0,1,809,,wakaba,8,6,2,3,2,682,,maneuver,6,5,1,3,1,637,,gold,#1 Overall Splatter,gold,#1 Turf Inker,gold,#1 Popular Target,
Drizzle Season 2022,2022-11-21T06:00:00+00:00,1.2.1,regular,nawabari,namero,180,bravo,,,,2935,36.8,,,,2999,50.1,,,,dynamo,4,2,2,2,2,818,,bucketslosher,7,6,1,4,3,914,,splatspinner,3,3,0,5,2,643,,prime,9,7,2,4,1,560,,promodeler_mg,5,5,0,2,3,913,,sshooter,2,2,0,4,2,753,,prime,4,2,2,6,1,673,,hokusai,8,6,2,6,1,660,,gold,#1 Super Jump Spot,gold,#1 Home-Base Inker,gold,#1 Splat Assister,
Drizzle Season 2022,2022-11-21T06:00:00+00:00,1.2.1,regular,nawabari,zatou,180,bravo,,,,3040,35.3,,,,3231,54.2,,,,splatroller,3,2,1,4,2,782,,nautilus47,8,5,3,2,2,843,,jimuwiper,3,2,1,2,0,803,,heroshooter_replica,3,3,0,6,1,612,,furo,4,2,2,1,3,967,,wakaba,4,3,1,2,3,855,,variableroller,7,6,1,3,2,789,,nzap85,7,3,4,6,1,620,,silver,#1 Ground Traveler,silver,#1 Ink Consumer,gold,#1 Super Jump Spot,
Drizzle Season 2022,2022-11-21T06:00:00+00:00,1.2.1,regular,nawabari,zatou,180,bravo,,,,3074,42.1,,,,3168,49.0,,,,splatroller,4,4,0,1,3,822,,nzap85,2,2,0,3,2,877,,sshooter,5,4,1,5,3,825,,clashblaster,8,6,2,5,1,550,,sharp,6,5,1,4,1,962,,maneuver,5,3,2,6,2,837,,barrelspinner,5,4,1,1,3,775,,maneuver,3,2,1,5,1,594,,silver,#1 Ground Traveler,gold,#1 Enemy-Base Inker,gold,#1 Popular Target,
Drizzle Season 2022,2022-11-21T06:00:00+00:00,1.2.1,regular,nawabari,zatou,180,bravo,,,,3674,42.6,,,,3604,46.5,,,,pablo,4,4,0,4,2,658,,variableroller,5,4,1,3,5,1610,,lact450,2,1,1,5,3,878,,squiclean_a,1,1,0,6,1,528,,wakaba,5,3,2,2,4,1192,,bold,1,1,0,2,3,1014,,52gal,9,9,0,4,2,871,,liter4k,5,5,0,2,1,527,,silver,#1 Ground Traveler,gold,#1 Enemy Splatter,gold,#1 Super Jump Spot,
Drizzle Season 2022,2022-11-21T06:00:00+00:00,1.2.1,regular,nawabari,zatou,180,alpha,,,,3065,48.9,,,,3176,44.8,,,,pablo,5,3,2,3,2,672,,lact450,3,2,1,3,3,1199,,splatroller,4,4,0,3,3,767,,sharp,3,3,0,7,0,427,,bold,4,3,1,3,3,1059,,splatroller,10,10,0,4,2,748,,liter4k_scope,3,2,1,3,2,728,,tristringer,5,1,4,2,1,641,,gold,#1 Overall Splatter,gold,#1 Splat Assister,silver,#1 Damage Taker,
Drizzle Season 2022,2022-11-21T08:00:00+00:00,1.2.1,regular,nawabari,masaba,180,alpha,,,,3415,66.5,,,,2703,23.3,,,,splatroller,5,4,1,0,2,800,,dualsweeper,6,4,2,2,3,958,,pablo,3,0,3,3,3,881,,splatroller,7,5,2,4,2,776,,tristringer,3,3,0,2,3,869,,drivewiper,6,5,1,6,1,720,,liter4k,2,1,1,3,1,643,,liter4k_scope,1,0,1,2,1,471,,silver,#1 Ink Consumer,silver,#2 Home-Base Inker,gold,#1 Enemy-Base Inker,
Drizzle Season 2022,2022-11-21T08:00:00+00:00,1.2.1,regular,nawabari,masaba,180,alpha,,,,3392,82.2,,,,2345,10.6,,,,heroshooter_replica,11,8,3,0,3,890,,sharp,4,1,3,0,3,1021,,clashblaster,12,10,2,0,3,752,,carbon,11,5,6,1,2,729,,lact450,0,0,0,6,2,1000,,squiclean_a,1,1,0,5,1,586,,prime,0,0,0,7,1,484,,nzap85,0,0,0,6,0,275,,silver,#1 Ink Consumer,gold,#1 Enemy-Base Inker,silver,#1 Trizooka User,
